,rMean,gMean,bMean,rStd,gStd,bStd,rQuantile25,gQuantile25,bQuantile25,rMedian,gMedian,bMedian,rQuantile75,gQuantile75,bQuantile75,rDifference,gDifference,bDifference,target
0,143.7607,131.9849,123.0893,45.97390385327311,56.40622901763599,56.18323705083217,116.0,99.0,82.0,150.0,140.0,126.0,179.0,178.0,172.0,19.008599999999973,15.983399999999989,9.713000000000008,0
1,153.9853,141.2784,131.1372,46.17345432074581,59.29002018417602,58.34313306773986,126.0,108.0,89.0,163.0,155.0,141.0,188.0,188.0,181.0,13.309799999999996,6.400800000000004,2.9039999999999964,0
2,158.4749,143.35,134.2624,38.29566777051942,53.22828665286908,52.781770965362654,136.0,116.0,103.0,165.0,155.0,140.0,188.0,187.0,181.0,20.988200000000006,17.551999999999992,14.5368,0
3,119.4695,100.1666,92.4139,60.166506211928244,66.63383258105449,61.101898389411765,69.0,37.0,35.0,118.0,92.0,80.0,175.0,164.0,152.0,-50.4666,-58.88759999999999,-60.157399999999996,0
4,120.8023,99.8227,91.4014,59.59335210163966,66.91632285705782,61.64791219530472,70.0,37.0,33.0,119.0,92.0,78.0,176.0,164.25,152.0,-50.464200000000005,-59.468999999999994,-61.14280000000001,0
5,143.3239,121.9641,115.4524,73.40215248063234,82.6049599672441,75.6857181655826,85.0,49.0,51.0,129.0,94.0,82.0,218.0,208.0,192.0,-1.8421999999999912,-10.4786,-21.800399999999996,0
6,164.1334,142.2649,135.5454,64.22703172683602,78.77357760055081,71.46650641272456,110.0,67.0,65.0,179.0,158.0,144.0,223.0,217.0,202.0,-38.58279999999999,-52.18539999999999,-56.941199999999995,0
7,121.2702,103.6118,95.9829,45.801200769848826,53.83645141314572,47.014693528619325,77.0,47.0,50.0,132.0,119.0,105.0,161.0,150.0,136.0,-1.642799999999994,-7.037599999999998,-12.119799999999998,0
8,122.8985,103.9329,95.8892,43.084013250276485,52.7091737517294,46.469266438798016,83.0,49.0,50.0,132.0,120.0,107.0,158.0,148.0,135.0,1.6821999999999946,-2.972999999999999,-8.714799999999997,0
9,123.6144,104.7828,96.855,43.56832464807432,53.395395158758774,46.8199121635229,83.0,49.0,51.0,134.0,121.0,107.0,159.0,150.0,136.0,-2.1307999999999936,-8.904399999999995,-13.964399999999998,0
